variable_name,en,fr
use_open_access_publication,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open-access publication],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Publications en libre accès]
use_open_methods,"What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open methods (e.g., lab notebooks)]",Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Méthodes «ouvertes» (par exemple : journaux de laboratoire (suivi))]
use_open_hardware,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open hardware],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Matériel «ouvert»]
use_open_data,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open data],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Données «ouvertes»]
use_open_software,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open software],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Logiciels «ouverts»]
use_open_educational_resources,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Open educational resources],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Ressources éducatives «ouvertes»]
use_equity_diversity_inclusion,"What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Equity, diversity, and inclusion]","Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Équité, diversité et inclusion]"
use_public_outreach_citizen_science,What's your experience USING open-science objects that have been created and shared by others? (you can select multiple options in each row) [Public outreach / citizen science],Quelle est votre expérience à *UTILISER* des objets de science ouverte qui ont été créés et partagés par d'autres? (vous pouvez sélectionner plusieurs options par rangée) [Sensibilisation ou communication au public (vulgarisation) / science citoyenne]
barriers,What barriers do you face when trying to do open science? (you can select multiple options),Quels obstacles rencontrez-vous lorsque vous essayez de faire de la science ouverte? (vous pouvez sélectionner plusieurs options)
resources_youd_like,What would help you make your research more open? (you can select multiple options),Qu'est-ce qui vous aiderait à rendre votre recherche plus ouverte? (vous pouvez sélectionner plusieurs options)
host_volunteer,"Would you be interested in applying to host Open Science Office Hours?   We're still determining what these office hours would look like. But for example, you might host every other month with another TA who has complimentary expertise in open science. Together, you'd help individuals find ways to make their research more open and reproducible, based on their skills and resources. You might tell them where to find tutorials on doing open science, where to get help debugging open software, ways to publish open access, where to find open data, etc.  [As a volunteer]",Seriez-vous intéressé.e à postuler pour accueillir et participer aux heures de bureau / consultations sur la science ouverte?  [En tant que bénévole]
host_paid,"Would you be interested in applying to host Open Science Office Hours?   We're still determining what these office hours would look like. But for example, you might host every other month with another TA who has complimentary expertise in open science. Together, you'd help individuals find ways to make their research more open and reproducible, based on their skills and resources. You might tell them where to find tutorials on doing open science, where to get help debugging open software, ways to publish open access, where to find open data, etc.  [As a paid teaching assistant]",Seriez-vous intéressé.e à postuler pour accueillir et participer aux heures de bureau / consultations sur la science ouverte?  [En tant qu'auxiliaire/assistant.e d'enseignement rémunéré.e]
learn_next,What would you like to learn about open science?,Qu'aimeriez-vous apprendre sur la science ouverte?
motivation,"If you do open science, what motivates you to do so?","Si vous faites de la science ouverte, qu'est-ce qui vous motive à le faire?"
resources_that_helped,"If you do open science, what kinds of resources did you find most useful for learning how to do open science? (e.g., tutorials, summer schools, hackathons, videos, etc.)","Si vous faites de la science ouverte, quels types de ressources avez-vous trouvé les plus utiles pour apprendre à faire de la science ouverte? (par exemple, tutoriels, écoles d'été, hackathons, vidéos, etc.)"
comments,Comments (optional),Commentaires (optionnel)
